Country,Gender,Mean,N=,Country_N
AT,Male,7.3,471,1
AT,Female,7.3,570,1
AT,Both,7.3,1041,1
BE,Male,7.8,468,2
BE,Female,7.8,542,2
BE,Both,7.8,1010,2
BG,Male,5.8,416,3
BG,Female,5.8,555,3
BG,Both,5.8,971,3
CY,Male,7.8,433,4
CY,Female,7.5,569,4
CY,Both,7.7,1002,4
CZ,Male,7.6,462,5
CZ,Female,7.4,759,5
CZ,Both,7.5,1221,5
DE,Male,7.5,916,6
DE,Female,7.5,1087,6
DE,Both,7.5,2003,6
DK,Male,8.3,447,7
DK,Female,8.3,550,7
DK,Both,8.3,997,7
EE,Male,7.4,402,8
EE,Female,7.3,615,8
EE,Both,7.4,1017,8
GR,Male,7.4,436,9
GR,Female,7.3,564,9
GR,Both,7.3,1000,9
ES,Male,7.7,498,10
ES,Female,7.5,515,10
ES,Both,7.6,1013,10
FI,Male,8.2,463,11
FI,Female,8.4,538,11
FI,Both,8.3,1001,11
FR,Male,7.8,630,12
FR,Female,7.8,899,12
FR,Both,7.8,1529,12
HR,Male,7,384,13
HR,Female,6.9,598,13
HR,Both,7,982,13
HU,Male,7.1,386,14
HU,Female,6.9,612,14
HU,Both,7,998,14
IE,Male,8,400,15
IE,Female,8.1,596,15
IE,Both,8,996,15
IT,Male,7.1,533,16
IT,Female,6.9,973,16
IT,Both,7,1506,16
LT,Male,7.3,375,17
LT,Female,7.2,622,17
LT,Both,7.3,997,17
LU,Male,8.1,425,18
LU,Female,8,576,18
LU,Both,8,1001,18
LV,Male,6.9,379,19
LV,Female,6.8,611,19
LV,Both,6.8,990,19
MK,Male,6.3,470,20
MK,Female,6.2,510,20
MK,Both,6.3,980,20
MT,Male,8,498,21
MT,Female,7.8,493,21
MT,Both,7.9,991,21
NL,Male,8,481,22
NL,Female,8,529,22
NL,Both,8,1010,22
NO,Male,8,462,23
NO,Female,8.1,530,23
NO,Both,8.1,992,23
PL,Male,7.4,604,24
PL,Female,7.3,884,24
PL,Both,7.4,1488,24
PT,Male,7,477,25
PT,Female,6.8,521,25
PT,Both,6.9,998,25
RO,Male,7.1,472,26
RO,Female,7,525,26
RO,Both,7,997,26
SE,Male,8.2,492,27
SE,Female,8.2,519,27
SE,Both,8.2,1011,27
SI,Male,7.7,426,28
SI,Female,7.6,602,28
SI,Both,7.7,1028,28
SK,Male,7.5,435,29
SK,Female,7.6,684,29
SK,Both,7.5,1119,29
TR,Male,6.6,874,30
TR,Female,6.6,1118,30
TR,Both,6.6,1992,30
UK,Male,7.7,643,31
UK,Female,7.9,856,31
UK,Both,7.8,1499,31
CC3,Male,6.6,1728,32
CC3,Female,6.6,2226,32
CC3,Both,6.6,3954,32
EU 15,Male,7.6,7780,33
EU 15,Female,7.6,9835,33
EU 15,Both,7.6,17615,33
NMS12,Male,7.2,5288,34
NMS12,Female,7.1,7531,34
NMS12,Both,7.2,12819,34
EU 27,Male,7.5,13068,35
EU 27,Female,7.5,17366,35
EU 27,Both,7.5,30434,35